date,state,cases,deaths
2020-10-02,Alabama,156698,2550
2020-10-02,Alaska,8838,53
2020-10-02,Arizona,219778,5693
2020-10-02,Arkansas,84821,1384
2020-10-02,California,825609,16020
2020-10-02,Colorado,71887,2066
2020-10-02,Connecticut,57742,4511
2020-10-02,Delaware,20937,642
2020-10-02,District of Columbia,15423,629
2020-10-02,Florida,711796,14553
2020-10-02,Georgia,303010,6903
2020-10-02,Guam,3586,50
2020-10-02,Hawaii,12660,138
2020-10-02,Idaho,43033,473
2020-10-02,Illinois,301234,9005
2020-10-02,Indiana,124959,3656
2020-10-02,Iowa,90999,1369
2020-10-02,Kansas,62124,698
2020-10-02,Kentucky,73922,1227
2020-10-02,Louisiana,168826,5545
2020-10-02,Maine,5431,142
2020-10-02,Maryland,126535,3950
2020-10-02,Massachusetts,132870,9480
2020-10-02,Michigan,139064,7103
2020-10-02,Minnesota,101419,2112
2020-10-02,Mississippi,99558,2999
2020-10-02,Missouri,132982,2203
2020-10-02,Montana,14044,186
2020-10-02,Nebraska,46185,498
2020-10-02,Nevada,81191,1609
2020-10-02,New Hampshire,8317,441
2020-10-02,New Jersey,208416,16131
2020-10-02,New Mexico,29661,882
2020-10-02,New York,464752,32768
2020-10-02,North Carolina,214851,3626
2020-10-02,North Dakota,22697,267
2020-10-02,Northern Mariana Islands,70,2
2020-10-02,Ohio,156809,4905
2020-10-02,Oklahoma,89559,1044
2020-10-02,Oregon,34007,562
2020-10-02,Pennsylvania,166270,8254
2020-10-02,Puerto Rico,49747,673
2020-10-02,Rhode Island,25076,1118
2020-10-02,South Carolina,148323,3400
2020-10-02,South Dakota,23522,237
2020-10-02,Tennessee,194866,2473
2020-10-02,Texas,788695,16227
2020-10-02,Utah,74099,460
2020-10-02,Vermont,1768,58
2020-10-02,Virginia,149687,3250
2020-10-02,Virgin Islands,1326,20
2020-10-02,Washington,92166,2227
2020-10-02,West Virginia,16307,355
2020-10-02,Wisconsin,132176,1358
2020-10-02,Wyoming,6083,53
